ID,Latitude,Longitude,State,Franchisee
9103,41.111313,-111.982901,Utah,Charles M. Riddle
9104,40.368878,-111.766529,Utah,Charles M. Riddle
9105,40.275577,-111.726035,Utah,Charles M. Riddle
9106,40.502546,-111.93932,Utah,Charles M. Riddle
9108,41.299857,-111.967169,Utah,Charles M. Riddle
9109,40.7697,-111.877194,Utah,Charles M. Riddle
9110,37.068335,-113.550216,Utah,Wesley Glen Keetch
9111,40.229368,-111.658307,Utah,Wesley Glen Keetch
9112,40.389584,-111.827532,Utah,Wesley Glen Keetch
9113,40.609795,-112.025348,Utah,Wesley Glen Keetch
9114,41.267222,-111.971122,Utah,Wesley Glen Keetch
9115,40.624628,-111.835816,Utah,Wesley Glen Keetch
9116,40.561375,-111.979292,Utah,Wesley Glen Keetch
9117,40.652109,-112.289676,Utah,Charles M. Riddle
9118,41.139335,-112.063806,Utah,Charles M. Riddle
9119,40.327081,-111.709771,Utah,Charles M. Riddle
9120,38.562445,-109.549098,Utah,Anthony Treleven
9121,40.809117,-79.51647,Pennsylvania,Sheldon R. Jr. Port
9122,40.296051,-76.92982,Pennsylvania,Khushminder S. Bhullar
9123,40.753003,-75.603707,Pennsylvania,Khushminder S. Bhullar
9124,40.182306,-80.236773,Pennsylvania,Raja M. Khurram
9125,40.052604,-75.064617,Pennsylvania,Mohammad S. Khan
9126,40.139582,-76.586393,Pennsylvania,Khushminder S. Bhullar
9128,42.121386,-80.080778,Pennsylvania,Paul M. Mohtashemi
9129,39.976653,-75.438575,Pennsylvania,Mohammad S. Khan
9130,40.434107,-79.753246,Pennsylvania,Izhar Ali Khan
9131,40.029714,-75.098453,Pennsylvania,Murat Coskun
9132,40.924005,-77.027357,Pennsylvania,Khushminder S. Bhullar
9133,41.249597,-75.846658,Pennsylvania,Seth R. Gollhardt
9134,40.027532,-75.209583,Pennsylvania,Mohammed Shamsuzzaman Joarder
9135,40.911671,-77.777047,Pennsylvania,Sheldon R. Jr. Port
9136,41.570861,-75.508491,Pennsylvania,Seth R. Gollhardt
9137,40.64994,-75.598255,Pennsylvania,Mohammad S. Khan
9138,40.249464,-80.20759,Pennsylvania,Raja M. Khurram
9150,40.113317,-76.449959,Pennsylvania,Donald M. Jr. Prouse
9160,42.080603,-87.799227,Illinois,Anthony P. Manos
9161,41.997379,-87.765335,Illinois,Morice B. Botrice
9162,42.061761,-88.143869,Illinois,Anthony P. Manos
9163,42.183515,-88.0846,Illinois,Anthony P. Manos
9165,41.880602,-87.684935,Illinois,Anthony P. Manos
9166,41.852617,-87.688874,Illinois,Anthony P. Manos
9167,38.536919,-89.869639,Illinois,Mark B. Ratterman
9168,41.860217,-87.986288,Illinois,Timothy J. Ambre
9169,41.557149,-87.669308,Illinois,Chad Vickers
9170,41.915351,-88.209758,Illinois,Robert Palmiotto
9174,37.717589,-89.203397,Illinois,Nicholas M. Burch
9175,42.054099,-87.684049,Illinois,Anthony P. Manos
9176,41.48084,-87.637455,Illinois,Chad Vickers
9177,41.626081,-87.67564,Illinois,Akram Atallah
9178,41.60315,-87.746542,Illinois,Anthony S. Bronzell
9180,41.611153,-88.1233,Illinois,Timothy J. Ambre
9181,37.990283,-89.233215,Illinois,Nicholas M. Burch
9182,41.896132,-87.708401,Illinois,Anthony P. Manos
9183,42.16774,-87.84397,Illinois,Raymond J. Montez
9184,39.484538,-88.17421,Illinois,Samuel Edward Duvall
9185,42.308657,-88.431405,Illinois,Anthony P. Manos
9186,41.53846,-88.19999,Illinois,Raymond J. Montez
9187,41.881587,-87.649934,Illinois,Anthony P. Manos
9188,42.001973,-87.671533,Illinois,Kenneth R. Lindeman
9189,40.625087,-89.620773,Illinois,Mark B. Ratterman
9190,39.603727,-87.686658,Illinois,Samuel Edward Duvall
9191,39.770867,-89.713372,Illinois,Mark B. Ratterman
9192,39.768655,-89.649992,Illinois,Mark B. Ratterman
9193,41.925277,-87.669274,Illinois,Anthony P. Manos
9194,41.78121,-88.17654,Illinois,Raymond J. Montez
9195,38.433371,-89.908907,Illinois,Nicholas M. Burch
9196,41.512894,-87.936287,Illinois,Saad J. Khan
9197,40.692989,-89.483644,Illinois,Mark B. Ratterman
9198,40.816643,-89.613944,Illinois,Mark B. Ratterman
9200,34.760592,-112.452002,Arizona,Farnad Ferdows
9201,33.251515,-111.631761,Arizona,Farnad Ferdows
9202,33.2852,-111.6854,Arizona,Farnad Ferdows
9203,35.02595,-114.5974,Arizona,Farnad Ferdows
9204,32.425795,-111.046245,Arizona,Tareq M. Hishmeh
9205,33.389571,-112.590269,Arizona,Phillip McManus
9206,32.483991,-110.920532,Arizona,Tareq M. Hishmeh
9208,33.438935,-112.424636,Arizona,Phillip McManus
9210,34.71841,-112.002672,Arizona,Farnad Ferdows
9211,33.247715,-111.787785,Arizona,Farnad Ferdows
9212,33.320316,-111.789282,Arizona,Farnad Ferdows
9213,33.779983,-111.924854,Arizona,Gary Michael Meredith
9214,33.618375,-111.925093,Arizona,Gary Michael Meredith
9216,33.606838,-112.065514,Arizona,Gary Michael Meredith
9221,32.844698,-96.950461,Texas,Brian K. Bailey
9222,32.377851,-99.744669,Texas,Cassie Gerety
9223,31.430885,-100.41035,Texas,Dain F. Funderburg
9224,32.30738,-95.48051,Texas,Mac A. Mekonnen
9225,32.8992,-97.324707,Texas,Dennis L. Mayhall
9226,33.02348,-96.44023,Texas,Heng Li
9227,33.224448,-97.76558,Texas,Dennis L. Mayhall
9228,26.191933,-98.26443,Texas,Fernando Salido
9229,30.135732,-95.654489,Texas,Elsadig M. Abdelmotal
9230,30.538711,-97.848364,Texas,Mason Burnham
9231,33.147487,-97.107057,Texas,Thomas Burton Safar
9233,35.19046,-101.91975,Texas,Lawrence A. Vigil
9234,31.9938,-102.1534,Texas,Cassie Gerety
9235,27.812905,-97.076454,Texas,David E. Henderson
9236,32.574075,-95.856248,Texas,Mac A. Mekonnen
9237,30.283465,-95.474038,Texas,Michael A. Cunningham
9238,29.688527,-95.390925,Texas,Michael A. Cunningham
9239,33.1924,-102.2737,Texas,Jonathan Michael Busby
9240,31.776323,-106.502768,Texas,R. Brent Hamill
9241,30.347467,-97.677413,Texas,Selby Mark Marshall
9242,29.513413,-98.308875,Texas,Alan D. Murph
9243,33.076764,-97.130586,Texas,Michael Corey McKanna
9244,30.719797,-94.962286,Texas,Randy L. Sr. Brown
9245,32.237192,-95.346328,Texas,Mac A. Mekonnen
9246,32.975167,-96.332411,Texas,Mac A. Mekonnen
9247,31.937859,-106.42407,Texas,R. Brent Hamill
9248,33.021167,-96.93025,Texas,Michael Corey McKanna
9249,30.04511,-94.88786,Texas,Danish W. Dhedhi
9250,32.953194,-97.283257,Texas,Dennis L. Mayhall
9251,32.691767,-100.919295,Texas,Cassie Gerety
9252,33.048529,-96.832482,Texas,Brian K. Bailey
9253,35.841174,-101.970531,Texas,Jeremy Todd Patterson
9254,34.091156,-98.569318,Texas,Michael Anthony Loehr
9255,31.937674,-102.385768,Texas,Cassie Gerety
9256,32.968042,-97.416137,Texas,Dennis L. Mayhall
9257,32.439629,-94.714354,Texas,Mac A. Mekonnen
9258,26.274185,-98.149602,Texas,Thomas R. Benevente
9259,30.26048,-97.713706,Texas,Michael A. Cunningham
9260,29.537309,-95.533908,Texas,Michael A. Cunningham
9261,30.632637,-97.683554,Texas,Michael A. Cunningham
9262,33.085799,-97.295873,Texas,Dennis L. Mayhall
9263,30.344608,-97.381899,Texas,Selby Mark Marshall
9264,29.819326,-94.898037,Texas,Randy L. Sr. Brown
9265,33.36483,-97.181015,Texas,Steven T. Palmer
9266,33.174702,-96.497416,Texas,Heng Li
9267,30.466604,-97.596247,Texas,Sheryln W. Senior
9268,28.83285,-97.865852,Texas,Michael P Bernal
9269,29.85331,-97.94885,Texas,Alan D. Murph
9270,29.526636,-98.718925,Texas,Alan D. Murph
9271,29.559227,-98.253607,Texas,Alan D. Murph
9272,30.192645,-97.738868,Texas,Kristopher John Sanches
9273,30.562082,-96.263798,Texas,Michael A. Cunningham
9274,30.460597,-97.794713,Texas,Sheryln W. Senior
9275,31.139244,-97.726668,Texas,Michael A. Cunningham
9276,30.02024,-95.103676,Texas,Michael A. Cunningham
9277,33.040278,-97.027889,Texas,Michael Corey McKanna
9278,30.43509,-97.68278,Texas,Fernando Salido
9279,33.34433,-96.585657,Texas,Steven T. Palmer
9280,27.47183,-99.47587,Texas,Fernando Salido
9281,26.1717,-98.05981,Texas,Fernando Salido
9282,29.761091,-96.150878,Texas,Elsadig M. Abdelmotal
9283,29.300926,-94.790037,Texas,Elsadig M. Abdelmotal
9284,30.117418,-95.554142,Texas,Elsadig M. Abdelmotal
9285,30.30198,-97.738267,Texas,Michael A. Cunningham
9286,32.578794,-97.240243,Texas,Dennis L. Mayhall
9287,31.581634,-102.890958,Texas,Cassie Gerety
9288,32.757268,-96.822473,Texas,Brian K. Bailey
9289,32.332169,-96.142713,Texas,Mac A. Mekonnen
9290,33.152223,-96.715755,Texas,R. Brent Hamill
9291,32.947341,-96.992815,Texas,Brian K. Bailey
9292,30.108315,-95.384329,Texas,Michael A. Cunningham
9294,33.3965,-96.9458,Texas,Steven T. Palmer
9295,30.475499,-97.840315,Texas,Mason Burnham
9296,33.228397,-97.592135,Texas,Dennis L. Mayhall
9297,34.840035,-102.405625,Texas,Lawrence A. Vigil
9298,32.403262,-98.787525,Texas,Emily R. Renfro
9300,35.655666,-109.039446,New Mexico,Brian K. Bailey
9301,34.392403,-103.330747,New Mexico,Brian K. Bailey
9302,32.357966,-106.756833,New Mexico,Brian K. Bailey
9303,35.059893,-106.190171,New Mexico,Brian K. Bailey
9304,32.945139,-103.348613,New Mexico,Brian K. Bailey
9305,36.729054,-108.21569,New Mexico,Brian K. Bailey
9306,32.842411,-106.078452,New Mexico,Brian K. Bailey
9307,35.173931,-106.49712,New Mexico,Brian K. Bailey
9308,36.884381,-104.439543,New Mexico,Brian K. Bailey
